대단원,중단원,년도,문제 내용,모범 답안,해설
콘크리트공사,콘크리트 성질 및 시험,2024년 3회,경화콘크리트 강도 추정을 위해 이용되는 비파괴시험 방법의 명칭을 3가지 쓰시오.,① 슈미트 해머법(반발경도법) ② 공진법 ③ 음속법(초음파 속도법) (또는 복합법),구조물의 파손 없이 강도를 추정하는 대표적인 비파괴 시험입니다[cite: 4].
기초공사,지반조사 및 흙막이공법,2024년 3회,상향수압 측정용 계기 및 지층 침하량/수직변위 측정용 계측기기의 명칭을 쓰시오.,① 간극수압계(Piezometer) ② 지중침하계(Extension Meter),흙막이 공사 현장의 거동과 안정을 확인하기 위한 계측기입니다[cite: 4].
철골공사,철골부재 제작 및 현장설치,2024년 3회,철골구조 습식 내화피복공법의 종류를 4가지 쓰시오.,① 뿜칠공법 ② 미장공법 ③ 타설공법 ④ 조적공법,철골 내화 성능 확보를 위해 습식 재료를 사용하는 피복 공법입니다[cite: 4].
가설공사,안전관리,2024년 3회,시공과정 위험요소 발굴 계획서 및 사전 안전성 심사 계획서의 명칭을 각각 쓰시오.,(1) 안전관리계획서 (2) 유해·위험방지계획서,건설공사 착공 전 안전 확보를 위해 의무적으로 수립하는 계획서입니다[cite: 4].
기초공사,기초구조 및 지내력,2024년 3회,마이크로 말뚝(Micro Pile)의 정의와 장점 2가지를 기술하시오.,(1) 정의: 300mm 이하의 소구경 말뚝 (2) 장점: ① 협소한 작업공간 작업 가능 ② 길이 제한 없음 (기타 지지력 확보 등),도심지나 협소한 공간에서 기초 보강에 유리한 말뚝 공법입니다[cite: 4].
수공사/목공사,목공사,2024년 3회,목공사 방부·방충법 중 목재에 가능한 방부제 처리법을 3가지 쓰시오.,① 도포법(방부제칠) ② 주입법(가압주입법) ③ 침지법,목재의 부식을 방지하기 위해 방부제를 침투시키는 대표적인 방법입니다[cite: 4].
기초공사,지반조사 및 흙막이공법,2024년 3회,CIP(Cast In Place) 공법을 설명하시오.,로터리 보링기로 지반 굴착 후 조립된 철근 및 조골재를 채우고 모르타르를 주입하여 현지조성 파일을 시공하는 방법,주열식 현장조성 말뚝 흙막이 공법의 일종입니다[cite: 4].
마감공사,수장공사,2024년 3회,수장공사 시 바닥에서 1m~1.5m 정도 높이까지 널을 댄 것을 무엇이라 하는지 쓰시오.,징두리벽 혹은 징두리 판벽,실내 벽체의 하단부를 보호하고 치장하기 위한 마감입니다[cite: 4].
철골공사,철골부재 제작 및 현장설치,2024년 3회,철골구조 기초 앵커볼트(Anchor Bolt)의 매입공법 3가지를 쓰시오.,① 고정 매입법 ② 가동 매입법 ③ 나중 매입법,기초 콘크리트에 앵커볼트를 설치하는 시공 방식입니다[cite: 4].
기초공사,지반조사 및 흙막이공법,2024년 3회,흙막이벽에 발생하는 히빙(Heaving) 파괴 방지대책을 3가지 쓰시오.,① 흙막이 벽의 근입장 증가 ② 흙파기 시 Island 공법 채택 ③ 지반개량으로 보강,연약지반 굴착 시 바닥 부풀어오름 현상을 막기 위한 대책입니다[cite: 4].
철골공사,철골부재 제작 및 현장설치,2024년 3회,용접결함 용어 (1) 오버랩 (2) 언더컷 (3) 슬래그 감싸들기 (4) 블로우홀에 대한 설명을 각각 쓰시오.,① Overlap ② Under Cut ③ Slag 감싸들기 ④ Blow hole,용접 작업 시 발생하기 쉬운 결함들의 명칭입니다[cite: 4].
조적공사,벽돌공사,2024년 3회,벽돌벽 표면에 생기는 백화(Efflorescence)의 방지 대책을 2가지 쓰시오.,① 우중시공 철저 금지 ② 시공 후 벽면에 실리콘 뿜칠(방수재 도포) ③ 줄눈 방수제 사용 등,가용성 염류가 표면에 굳어 하얗게 뜨는 현상을 막기 위한 대책입니다[cite: 4].
마감공사,타일공사,2024년 3회,타일의 탈락(박락) 원인에 대해 2가지를 적으시오.,① 붙임 모르타르의 접착강도 부족 ② 붙임시간(Open Time) 불이행 ③ 양생 및 경화 불량 등,타일 시공 후 접착 불량 등으로 떨어지는 원인입니다[cite: 4].
구조역학,지진구조 및 내진설계,2024년 3회,건축물 기초 등에 적층고무 또는 미끄럼받이 등을 넣어 지진 흔들림을 감소시키는 구조의 명칭을 쓰시오.,면진구조,지진의 에너지를 흡수·차단하여 상부 구조물의 피해를 줄이는 내진 구조 형식입니다[cite: 4].
구조역학,지진구조 및 내진설계,2024년 3회,내진설계를 위한 지반 분류 시 토층의 평균전단파속도 산정을 위해 우선적으로 적용하는 시험의 명칭을 쓰시오.,탄성파시험,지반의 동적 특성을 평가하기 위한 현장 시험 방법입니다[cite: 4].
구조역학,지진구조 및 내진설계,2024년 3회,내진설계를 수행하기 위한 동적해석법 3가지를 쓰시오.,① 응답스펙트럼해석법 ② 탄성시간이력해석법 ③ 비탄성시간이력해석법,지진하중에 대한 구조물의 동적 거동을 해석하는 방법입니다[cite: 4].
가설공사,가설공사 일반,2024년 2회,달비계와 말비계의 용어를 간단히 설명하시오.,(1) 달비계: 상부에서 와이어로프 등으로 매달린 형태의 비계 (2) 말비계: 실내 내장 마무리 작업 등에 사용하는 다소 낮은 높이의 비계형태 발판,건축 현장에서 사용되는 가설 비계의 종류별 정의입니다[cite: 5].
철근콘크리트공사,철근공사,2024년 2회,일반적인 철근콘크리트(RC) 구조물의 최하부부터 2층 바닥부분까지의 철근 조립순서를 보기에서 골라 번호로 쓰시오.,기초철근 -> 기둥철근 -> 벽철근 -> 바닥철근,구조물의 아래에서 위로 진행되는 일반적인 철근 조립 순서입니다[cite: 5].
철근콘크리트공사,철근콘크리트 구조설계,2024년 2회,철근콘크리트구조 탄성계수비 공식 중 설계기준압축강도 범위에 따른 델타 f 값을 채우시오.,(1) 4 MPa (2) 6 MPa,설계기준압축강도에 따른 탄성계수 보정 값을 묻는 구조 기준 문제입니다[cite: 5].
조적공사,벽돌공사,2024년 2회,담 또는 처마 부부 내쌓기 시 45도 각도로 모서리가 돌출되도록 쌓는 방법 및 장식적 효과를 위한 영롱쌓기를 쓰시오.,(1) 엇모쌓기 (2) 영롱쌓기,특수한 목적과 미관을 위해 시공하는 벽돌 쌓기 방식의 명칭입니다[cite: 5].
마감공사,석공사,2024년 2회,건축공사표준시방서에 따른 경질 석재의 물갈기 마감공정을 순서대로 적으시오.,① 정갈기 -> ② 거친갈기 -> ③ 물갈기 -> ④ 본갈기,석재 표면을 평탄하고 매끄럽게 갈아내는 마감 공정 순서입니다[cite: 5].
마감공사,방수공사,2024년 2회,콘크리트로 마감된 옥상에 시트방수 시 하단부터 상단까지의 시공 순서를 쓰시오.,고름모르타르 -> 시트방수 -> 보호모르타르 (기타 제시된 보기 순서 참고),옥상 시트방수 적층 구조의 표준 시공 순서입니다[cite: 5].
건축적산,입찰 및 계약,2024년 2회,종합심사낙찰제도에 관하여 간단히 설명하시오.,사회적 책임점수를 포함한 공사수행 능력점수와 입찰금액 점수를 합산하여 가장 높은 점수를 획득한 입찰자를 낙찰시키는 제도,적정 대가를 보장하고 시공 품질을 확보하기 위한 입찰 낙찰 방식입니다[cite: 5].
구조역학,구조역학 일반,2024년 2회,스프링구조에 단위하중이 작용할 때 스프링계수 k를 유도하시오.,k = EA / L,후크의 법칙과 축하중 변형량 공식을 연계하여 스프링 상수를 구하는 유도 문제입니다[cite: 5].
구조역학,구조역학 일반,2024년 2회,제시된 하중을 받는 변단면 부재의 늘어난 길이(ΔL)를 구하시오.,ΔL = (PL1 / E1A1) + (PL2 / E2A2),단면이 바뀐 부재의 각 구간별 변형량을 더하여 총 변형량을 구하는 구조역학 문제입니다[cite: 5].
가설공사,가설공사 일반,2024년 1회,잭 서포트(Jack Support)의 정의 및 설치위치를 2군데 쓰시오.,(1) 정의: 지하주차장 거푸집 동바리 해체 후 하중 및 차량 진동 균열 방지 가설지주 (2) 설치위치: ① 바닥판 중앙부 ② 보의 중앙부,지하주차장 등의 상부 하중 지지를 위해 설치하는 잭 서포트의 용도와 위치입니다[cite: 6].
토공사 및 가설공사,토공사,2024년 1회,모래 되메우기 시 물다짐 외에 일반 흙 되메우기 시 다짐밀도 95% 이상으로 다지는 기준 두께(간격)를 쓰시오.,300 mm,토공사 되메우기 시 층다짐 두께 기준을 묻는 문제입니다[cite: 6].
기초공사,지반조사 및 흙막이공법,2024년 1회,어스앵커(Earth Anchor) 공법의 특징을 4가지 쓰시오.,① 버팀대가 없어 굴착공간 넓게 활용 ② 좁은 곳 시공 가능 ③ 대형기계 반입 용이 ④ 공기단축 용이하나 시공 후 검사 곤란,흙막이 벽체 지지를 위해 타이스팟을 이용하는 어스앵커의 장단점입니다[cite: 6].
기초공사,말뚝기초,2024년 1회,말뚝타입공법으로 시공한 말뚝 검사 시 확인해야 하는 사항을 3가지 쓰시오.,① 말뚝의 심도 ② 말뚝의 지지력 ③ 말뚝의 위치측량 (또는 최종관입량 및 리바운드 체크),기성말뚝 타입 공정 완료 후 품질 및 시공 상태 확인 사항입니다[cite: 6].
콘크리트공사,콘크리트 시공,2024년 1회,콘크리트 헤드(Concrete Head)를 설명하시오.,타설된 콘크리트 윗면으로부터 최대 측압면까지의 거리,콘크리트 측압 산정 시 기준이 되는 콘크리트 헤드의 정의입니다[cite: 6].
콘크리트공사,콘크리트 시공,2024년 1회,컨스트럭션 조인트와 콜드 조인트의 용어를 각각 설명하시오.,(1) 컨스트럭션 조인트: 계획된 이어치기 줄눈 (2) 콜드 조인트: 시공 중 휴식 등으로 일체화가 저해되어 생기는 줄눈,콘크리트 시공 이음의 계획 여부에 따른 구분입니다[cite: 6].
콘크리트공사,콘크리트 시공,2024년 1회,레미콘 공장을 현장에서 선정할 때 고려해야 할 유의사항을 3가지 쓰시오.,① 현장까지의 운반 및 배출시간 ② 콘크리트 제조능력 ③ 레미콘 운반차 대수,레미콘 품질 확보를 위한 공급 공장 선정 시 검토 사항입니다[cite: 6].
철근콘크리트공사,철근콘크리트 구조설계,2024년 1회,프리스트레스를 가하지 않은 부재의 최소 허용 순인장변형률 조건에서 400MPa 초과 시 철근 항복변형률의 배수를 구하시오.,(1) 0.004 (2) 2배,설계기준에 따른 철근콘크리트 부재의 연성 확보 기준입니다[cite: 6].
철근콘크리트공사,철근공사,2024년 1회,철근콘크리트 기둥에서 띠철근(Hoop Bar)의 역할을 2가지 쓰시오.,① 주철근의 좌굴 방지 ② 수평력에 대한 전단 보강,기둥 주철근 구속 및 전단 저항을 위한 띠철근의 주요 기능입니다[cite: 6].
조적공사,벽돌공사,2024년 1회,벽돌쌓기 방식 중 영식쌓기의 구조적 특성을 간단히 설명하시오.,길이쌓기와 마구리쌓기를 번갈아 쌓고 모서리에 반절·이오토막을 사용하여 통줄눈이 발생하지 않는 견고한 쌓기법,벽돌조의 구조적 안전성을 높이는 대표적인 영식쌓기의 특징입니다[cite: 6].
마감공사,창호 및 유리공사,2024년 1회,로이 유리와 단열 간봉의 용어를 각각 설명하시오.,(1) 로이 유리: 은소재 코팅으로 방사율·열관류율 낮춘 유리 (2) 단열 간봉: 복층유리 가장자리의 열전도율 낮은 간격재,건축물 에너지 절약을 위한 고성능 유리 및 부자재의 정의입니다[cite: 6].
마감공사,커튼월공사,2024년 1회,커튼월공사에서 발생될 수 있는 유리의 열파손 메커니즘을 설명하시오.,유리 중앙부의 고온 팽창과 주변부의 저온 수축에 따른 온도차이로 인해 균열이 발생하여 깨지는 현상,일사로 인한 온도 편차로 유리에 생기는 파손 원인입니다[cite: 6].
마감공사,커튼월공사,2024년 1회,커튼월의 알루미늄바에서 누수 방지 대책을 시공적 측면에서 4가지 쓰시오.,① 알루미늄바 접합부 실런트 처리 ② 스크류 고정부 실런트 처리 ③ 벽패널과 바 틈새 실런트 처리 ④ Weep Hole 통한 외부 배수,커튼월 기밀성 및 수밀성 확보를 위한 시공 대책입니다[cite: 6].
건축적산,입찰 및 계약,2024년 1회,완공 후 발주처(정부)에게 소유권을 양도하고 임대료를 통해 투자비를 회수하는 민간투자사업 계약방식의 명칭은?,BTL (Build-Transfer-Lease),민간투자사업의 주요 추진 방식 중 임대형(BTL)의 정의입니다[cite: 6].
가설공사,안전관리,2024년 1회,품질관리 계획서 제출 시 필수적으로 기입하여야 하는 항목을 3가지 적으시오.,① 건설공사정보 ② 품질방침 및 목표 ③ 현장조직관리 (또는 문서관리 등),건설공사 품질 향상을 위해 작성하는 품질관리계획서 필수 기재 항목입니다[cite: 6].
철근콘크리트공사,철근공사,2024년 1회,라멘조 철근콘크리트 기둥 주철근 이음 위치로 가장 적절한 구간 번호(3구간)와 그 이유를 쓰시오.,(1) 이음 위치: 3 (중앙부) (2) 이유: 기둥은 중앙 부분이 휨모멘트 및 응력이 작기 때문이다.,기둥 주철근 이음 시 응력이 최소가 되는 위치 선정 기준입니다[cite: 6].
건축적산,입찰 및 계약,2023년 4회,컨소시엄(Consortium) 공사에 있어서 페이퍼 조인트(Paper Joint)에 관하여 기술하시오.,공동도급으로 수주한 후 한 회사가 공사 전체를 진행하고 나머지 회사는 서류상으로 공사에 참여하는 방식,공동도급 운영 방식 중 페이퍼 조인트의 정의를 묻는 문제입니다[cite: 7].
콘크리트공사,콘크리트 배합,2023년 4회,물시멘트비와 물결합재비의 용어를 각각 설명하시오.,(1) 물시멘트비: 시멘트페이스트 중 시멘트에 대한 물의 질량 백분율 (2) 물결합재비: 시멘트페이스트 중 결합재에 대한 물의 질량 백분율,콘크리트 배합 시 사용되는 물의 비율 산정 기준 용어입니다[cite: 7].
기초공사,지반조사 및 흙막이공법,2023년 4회,흙막이공사의 지하연속벽(Slurry Wall)공법에 사용되는 안정액의 기능을 2가지 쓰시오.,① 굴착벽면 붕괴 방지 ② 굴착토사 분리배출,지하연속벽 공사 시 벤토나이트 안정액의 주요 역할입니다[cite: 7].
마감공사,창호 및 유리공사,2023년 4회,접합 유리와 Low-E 유리의 용어를 각각 설명하시오.,(1) 접합 유리: 판유리 사이에 합성수지를 겹붙여 댄 유리 (2) Low-E 유리: 표면을 얇게 코팅하여 열 이동을 최소화한 에너지 절약형 유리,기능성 특수 유리의 정의입니다[cite: 7].
건축적산,입찰 및 계약,2023년 4회,건축주와 시공자가 공사실비를 확인정산하고 정해진 보수율에 따라 시공자에게 지급하는 방식을 쓰시오.,실비A보수가산식 (실비보수가산도급계약),실비보수가산도급 방식의 정의를 묻는 문제입니다[cite: 7].
가설공사,가설공사 일반,2023년 4회,시멘트 500포의 공사현장에서 쌓기 단수가 12단일 때 필요한 시멘트 창고의 면적을 구하시오.,16.67 m²,시멘트 저장 창고 소요 면적 산정 공식 적용 문제입니다[cite: 7].
콘크리트공사,콘크리트 시공,2023년 4회,솟음(Camber)과 토핑 콘크리트(Topping Concrete)의 용어를 각각 설명하시오.,(1) 솟음: 보나 트러스 등을 상향으로 구부려 올리는 것 또는 그 크기 (2) 토핑 콘크리트: 높이 조절이나 하중 균일 분산을 위해 기성 바닥판 위에 타설하는 현장치기 콘크리트,구조 부재 및 바닥판 시공 관련 용어 설명입니다[cite: 7].
